OrganizationName,Industries,TotalFundingAmount,NumberofFundingRounds,FoundedDate,FoundedDatePrecision,StockSymbol,ValuationatIPO
UCloud Information Technology,"Big Data, Cloud Computing, Cloud Data Services, E-Commerce, Enterprise Software, Information Technology",314429434,6,2011/1/1,year,688158,4427034032
infobird,"Call Center, Cloud Computing, Customer Service, Machine Learning, SaaS",30443812,2,2001/10/26,day,IFBD,101000000
17zuoye,"E-Learning, EdTech, Education, Internet, Language Learning",585000000,7,2011/1/1,year,YQ,2250000000
CloudWalk Technology,"Artificial Intelligence (AI), Facial Recognition, Information Technology, Machine Learning",804747563,7,2015/1/1,year,688327,2366166064
Intellifusion,"Artificial Intelligence (AI), Computer Vision, Facial Recognition, Software",173494166,5,2014/1/1,year,688343,4815596744
21viaNet,"Cloud Data Services, Data Center, Enterprise Software, Information Technology, Internet, Web Hosting",1355417400,12,1996/1/1,year,VNET,4837729950
Weimob,"CRM, E-Commerce, Enterprise Software, Marketing, SaaS, Social Network, Software",589145072,6,2013/4/1,month,2013,718051367
QingCloud,"Cloud Computing, IaaS, SaaS, Software, Web Hosting",280832709,4,2012/1/1,year,688316,464208309
Medbanks,"Database, Health Care, Health Diagnostics, Medical, Oncology",536000000,6,2014/1/1,year,0314,1802653070
Transwarp,"Big Data, Data Center, Information Technology, Software",189181487,7,2013/3/1,month,688031,1209059959
Puxin Education Technology Group,"EdTech, Education",20000000,1,2014/1/1,year,NEW,1585000000
Raycloud,"E-Commerce, Enterprise, Information Technology, SaaS, Software",43951404,3,2013/8/29,day,688365,61184982
Link Motion,"Android, Apps, Mobile, PaaS, Privacy, Security, Software, Wireless",10000000,7,2005/10/4,day,LKM,2634755950